Updated Provider org. reference ,Unique ID,Recipient Country
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2016-17-05.005.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-10.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK05,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.003.EM01.PAK05,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.001.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.001.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.002.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.002.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.003.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.003.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.003.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-03.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-04.002.EM01.PAK06,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-13.003.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-13.003.EM01.PAK03,Pakistan
SWEDEN [XM-DAC-10-1],XM-DAC-41127-O360,Pakistan
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000146942,Pakistan
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000155356,Pakistan
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000162345,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-01.001.EM01.PAK01,Pakistan
U.K. [UK],XM-DAC-41140-PK01.01.011.ACL1,Pakistan
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-PK01.02.033.NPA1,Pakistan
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-PK01.04.041.EPA1,Pakistan
U.K. [UK],XM-DAC-41140-PK01-DSC,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2016-17-05.005.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2016-17-05.005.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-10.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK04,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.003.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.001.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.002.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.003.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-02.003.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-04.002.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-04.002.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-04.003.EM01.PAK04,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-13.003.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-13.003.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2016-17-01.006.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-01.006.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-01.006.EM01.PAK02,Pakistan
